transaction_amount_usd,latent_v1,latent_v2,latent_v3,latent_v4,device_trust_score,is_fraud
18.4,-0.524,-0.558,-0.764,-0.73,0.815,0
95.16,1.473,-0.331,-0.654,0.384,0.714,0
183.78,0.053,-0.197,0.22,0.037,0.957,0
49.97,-1.447,-0.915,-0.788,-1.058,0.979,0
78.43,-1.963,-0.474,-0.322,-0.286,0.974,0
372.91,-1.285,-0.313,-0.911,-0.334,0.832,0
31.95,-0.719,-0.262,0.301,-0.045,0.795,0
182.73,0.619,1.125,0.274,-0.021,0.923,0
283.13,0.414,0.309,1.001,0.794,0.852,0
224.31,0.341,0.323,-1.207,1.069,0.71,0
238.2,-1.669,0.712,0.267,-0.284,0.943,0
148.2,-1.308,1.416,0.072,2.315,0.853,0
227.14,-0.69,-0.111,0.15,1.465,0.708,0
8.51,1.227,0.451,1.769,-2.016,0.932,0
85.15,0.547,-1.333,1.389,0.761,0.88,0
300.94,1.994,0.445,-0.242,-0.811,0.923,0
109.32,0.057,-0.558,1.33,-0.887,0.828,0
95.52,-1.278,-1.15,-1.11,-0.237,0.941,0
41.45,0.882,-0.224,3.103,-0.237,0.977,0
190.13,-0.104,-1.277,-0.081,0.297,0.808,0
23.44,0.327,-0.525,-0.734,0.782,0.712,0
364.49,-1.282,-1.088,0.177,0.846,0.762,0
191.92,-0.305,1.01,0.859,0.05,0.982,0
30.84,-0.278,0.035,-0.727,-0.15,0.818,0
8.46,-0.454,0.524,0.818,-0.38,0.916,0
26.01,0.185,-0.367,1.376,-0.565,0.829,0
41.1,1.618,-0.318,-0.515,0.027,0.836,0
189.05,0.591,-0.189,0.599,0.18,0.92,0
14.28,-0.543,-1.378,-0.02,-1.289,0.837,0
271.01,1.423,-0.33,-0.02,-1.47,0.801,0
48.4,1.077,-0.46,1.327,-2.681,0.985,0
10.26,1.548,-0.068,0.34,-1.063,0.769,0
176.74,-1.194,-1.208,-1.225,0.38,0.783,0
50.81,0.369,-2.173,1.329,1.986,0.89,0
36.26,0.349,-0.5,-0.453,0.654,0.818,0
63.67,2.073,0.433,-0.052,-0.718,0.94,0
56.0,0.262,0.375,-1.249,-0.35,0.973,0
69.6,-0.416,0.928,-1.144,0.07,0.764,0
60.9,-0.048,-0.583,1.414,-0.41,0.803,0
349.11,0.351,-1.231,0.237,-0.415,0.988,0
150.35,-0.776,2.834,-0.353,-0.212,0.779,0
129.16,0.403,0.51,0.245,2.296,0.906,0
47.13,0.472,0.909,0.341,1.878,0.957,0
29.68,1.305,-0.559,1.0,-0.019,0.8,0
44.18,-0.091,0.991,-2.079,0.2,0.78,0
95.69,-0.634,0.572,0.849,1.604,0.754,0
32.12,1.653,-0.755,0.507,2.183,0.923,0
688.35,-1.583,5.145,-3.854,3.42,0.296,1
151.88,-1.478,0.243,-2.17,0.714,0.902,0
59.9,0.49,0.924,-1.049,0.685,0.985,0
161.66,-0.641,1.091,-1.118,0.11,0.856,0
18.4,2.022,0.721,-0.033,-2.462,0.954,0
14.77,-0.536,0.475,-0.511,1.427,0.953,0
68.23,0.205,-0.276,-0.471,-1.012,0.921,0
267.15,1.097,-0.428,0.522,-0.526,0.891,0
23.2,-0.747,-0.4,-1.249,-0.493,0.887,0
447.33,0.024,-0.287,0.818,0.146,0.847,0
71.69,-1.735,-0.213,-0.126,-0.614,0.715,0
72.97,0.333,-1.909,1.144,-1.578,0.728,0
42.22,0.306,-0.183,0.252,1.111,0.851,0
231.92,0.46,1.96,0.804,-0.294,0.872,0
144.35,-0.963,-0.181,-1.472,-2.285,0.86,0
14.48,0.126,-1.412,-2.379,1.471,0.924,0
66.8,1.499,0.735,0.059,-0.398,0.956,0
6.49,0.719,-0.16,-0.59,-2.098,0.985,0
23.9,-0.083,1.097,1.259,0.053,0.914,0
31.19,-0.015,-0.366,-1.456,2.104,0.925,0
119.44,-0.863,0.08,-0.081,0.782,0.805,0
89.41,-1.075,0.646,-0.508,0.815,0.754,0
49.33,-1.759,0.484,0.509,0.97,0.982,0
30.0,0.328,-3.757,0.503,-1.457,0.829,0
55.31,-2.08,0.279,-0.731,-1.519,0.738,0
65.23,0.981,1.45,-0.218,1.377,0.851,0
146.34,1.733,-0.622,-1.955,-1.554,0.92,0
21.33,-1.155,-0.676,-1.249,-0.653,0.868,0
141.03,-0.577,1.22,0.026,0.134,0.816,0
158.43,0.916,0.845,-0.146,-1.396,0.95,0
64.61,0.82,1.71,-0.49,0.779,0.867,0
16.18,1.105,0.906,0.103,-0.268,0.82,0
16.26,-1.31,-0.343,-1.806,-1.319,0.914,0
131.49,-0.289,0.065,0.199,0.46,0.71,0
150.21,0.353,-1.337,-2.443,-1.017,0.958,0
53.88,0.234,0.534,-0.897,-0.071,0.929,0
11.67,0.065,-0.756,-1.07,-0.227,0.747,0
11.8,0.661,-0.905,-0.208,1.355,0.847,0
7.82,-0.106,-0.188,1.668,0.306,0.875,0
47.31,0.275,-0.374,1.349,-0.779,0.849,0
119.06,1.006,3.068,0.18,-0.097,0.833,0
16.6,-1.036,-0.187,2.895,0.12,0.798,0
11.32,-0.412,1.048,-0.09,1.609,0.758,0
16.29,-0.897,-0.383,-1.734,-2.13,0.787,0
77.01,0.406,-0.5,0.94,-1.723,0.908,0
191.88,0.363,1.124,0.07,-2.448,0.923,0
183.5,-0.245,-0.842,-0.361,1.458,0.796,0
50.04,-1.468,-0.035,1.671,2.205,0.76,0
106.02,-0.875,0.876,1.332,-0.642,0.831,0
139.02,0.714,1.145,-1.482,0.451,0.816,0
125.71,-1.057,0.495,0.133,-0.327,0.773,0
63.86,0.404,1.593,-0.715,-0.828,0.864,0
64.59,1.1,-0.094,0.04,1.199,0.905,0
23.2,-1.117,0.925,-0.294,0.201,0.956,0
35.83,-0.175,2.158,1.419,-1.304,0.975,0
8.58,0.191,0.735,-0.458,1.212,0.837,0
177.67,0.981,-2.411,1.358,0.887,0.869,0
18.15,-2.026,-0.763,1.096,-0.013,0.925,0
12.46,-0.071,0.987,-0.619,0.419,0.895,0
27.92,-0.321,-0.041,-0.362,-0.236,0.901,0
7.5,-1.005,0.329,0.555,-1.331,0.708,0
233.24,-0.596,0.03,-0.599,-0.223,0.814,0
99.22,-2.312,-0.599,-0.328,-0.49,0.729,0
145.05,0.269,-1.028,-1.175,-0.674,0.885,0
56.91,1.552,-1.67,-1.93,-0.086,0.862,0
99.11,-0.033,-0.456,1.077,0.178,0.956,0
11.16,1.732,-1.688,0.424,-0.563,0.916,0
203.61,0.51,0.978,1.39,1.952,0.71,0
374.25,-5.339,4.983,-3.798,2.012,0.237,1
170.92,-1.256,-0.848,-0.943,-0.925,0.938,0
110.42,1.699,-0.698,0.343,-0.647,0.947,0
267.43,0.02,-1.48,-1.123,0.803,0.874,0
30.32,-0.676,-1.926,-2.539,1.463,0.843,0
35.15,0.354,-1.313,-0.554,0.479,0.731,0
122.59,0.237,-0.102,-0.97,1.2,0.784,0
68.04,0.522,-0.616,-0.289,0.008,0.895,0
51.84,-1.493,0.057,0.381,0.041,0.721,0
33.39,-0.803,-0.821,1.159,-0.442,0.965,0
24.2,2.132,0.669,-2.668,0.883,0.756,0
61.94,1.304,-0.436,-0.521,0.375,0.726,0
207.95,1.143,0.113,0.042,-0.697,0.856,0
172.55,-0.225,-0.35,1.027,-0.262,0.972,0
423.48,1.029,-0.472,0.722,0.207,0.834,0
14.29,-2.191,-0.744,-1.578,1.998,0.705,0
439.83,-1.566,2.586,0.514,-0.519,0.776,0
141.47,-1.41,0.079,0.7,1.278,0.968,0
134.86,0.498,-0.529,1.386,1.163,0.941,0
77.5,2.185,-0.544,-0.9,-0.573,0.879,0
27.64,-1.61,1.265,-0.672,1.359,0.841,0
49.43,-1.293,1.353,1.679,-2.344,0.915,0
106.25,0.326,0.588,0.516,0.87,0.901,0
38.51,0.209,0.149,0.567,-1.271,0.814,0
392.68,-1.553,-0.121,1.544,-1.185,0.722,0
83.65,-0.851,0.501,0.759,-0.788,0.87,0
134.76,-0.242,0.348,2.036,0.754,0.749,0
322.85,-0.699,-0.019,0.131,0.665,0.903,0
68.31,-0.227,-1.73,0.215,-0.441,0.814,0
32.06,-0.358,1.14,-1.483,0.35,0.88,0
6.04,2.22,-0.175,-0.204,0.72,0.922,0
82.39,-0.167,0.702,0.718,-0.336,0.714,0
17.46,-0.114,-0.011,-1.238,-0.389,0.881,0
101.68,-0.58,-0.016,0.971,0.443,0.909,0
155.6,0.215,-0.166,-1.195,0.692,0.773,0
58.42,-0.546,0.852,-1.916,-1.03,0.933,0
69.08,1.0,1.502,0.208,-0.209,0.757,0
233.85,0.843,-0.899,-0.977,-1.155,0.79,0
122.12,1.001,0.148,1.102,-1.105,0.918,0
18.96,-0.431,-2.493,-1.372,-1.113,0.899,0
25.67,0.337,0.162,2.009,1.175,0.72,0
174.88,0.802,-1.495,0.06,0.299,0.91,0
55.1,0.051,-1.228,-0.997,2.282,0.799,0
58.61,-0.599,-1.827,0.917,-1.955,0.769,0
385.72,-1.402,0.004,1.109,-0.069,0.706,0
101.73,-1.258,0.183,-0.468,1.133,0.785,0
154.68,0.78,0.271,1.367,0.737,0.943,0
9.79,0.547,1.328,0.015,-0.773,0.724,0
118.19,0.604,0.062,0.403,-1.204,0.761,0
85.93,0.962,0.963,0.348,0.31,0.722,0
40.74,-0.015,1.983,0.229,-1.346,0.818,0
47.02,-0.378,1.266,-1.023,1.422,0.972,0
97.4,0.456,0.591,-0.411,-2.334,0.754,0
34.35,0.311,0.219,-0.272,1.756,0.725,0
9.98,-0.641,-2.226,0.119,1.189,0.738,0
140.77,0.24,1.839,-0.875,0.031,0.89,0
1139.84,-3.872,3.433,-5.142,4.645,0.312,1
70.05,-1.537,1.758,-0.204,-0.091,0.916,0
121.52,1.157,1.375,-0.04,1.388,0.789,0
14.14,-0.182,-0.527,0.06,0.896,0.764,0
140.98,-0.696,-0.855,0.089,-1.581,0.793,0
19.23,1.055,-0.132,1.006,0.188,0.757,0
20.53,-1.166,2.403,1.111,0.604,0.918,0
247.41,-1.303,-0.452,-0.975,0.128,0.784,0
24.81,-0.901,-0.24,0.071,-0.213,0.877,0
109.74,-0.783,0.326,-0.701,-0.395,0.944,0
121.79,-0.587,-1.105,0.088,0.435,0.932,0
31.12,0.639,-0.653,1.13,1.161,0.86,0
75.48,-0.903,0.925,0.88,-0.348,0.79,0
72.18,-1.905,-1.715,0.389,0.437,0.912,0
57.89,0.987,-1.598,-0.172,-0.94,0.835,0
1759.72,-4.824,7.25,-4.731,3.318,0.088,1
157.87,-0.253,1.619,0.911,-0.162,0.784,0
29.34,-0.482,0.507,0.757,-0.726,0.77,0
116.01,-0.612,-1.45,-1.479,-0.919,0.732,0
62.22,1.498,-0.932,0.184,1.32,0.709,0
87.0,0.147,-0.562,-1.001,0.613,0.938,0
210.71,-0.583,0.937,0.796,0.166,0.793,0
150.77,0.784,0.779,-0.301,-0.43,0.962,0
21.58,0.329,1.968,-0.232,-0.451,0.851,0
167.6,0.866,1.475,-1.907,-0.038,0.735,0
49.72,-1.919,-1.591,0.104,-0.534,0.859,0
11.91,-0.692,1.29,-0.621,1.505,0.721,0
129.01,-0.03,-0.652,-0.725,1.514,0.763,0
125.98,0.119,-2.359,-1.332,-0.75,0.918,0
40.27,-1.914,-1.428,0.452,0.23,0.893,0
59.22,0.617,1.223,-0.051,-0.544,0.939,0
36.92,0.773,-0.219,0.472,0.963,0.777,0
15.58,0.447,-1.789,0.466,-1.125,0.879,0
73.02,-0.697,-1.35,-0.18,-0.265,0.96,0
336.22,0.661,0.234,-0.296,0.091,0.989,0
13.86,-1.122,0.829,1.618,-1.198,0.827,0
29.51,-1.221,-1.276,-1.402,-0.194,0.935,0
19.54,-0.563,-1.217,-0.017,-1.059,0.78,0
76.49,-2.165,-1.61,-0.418,-0.287,0.715,0
84.67,-0.847,1.433,1.169,0.986,0.971,0
10.7,0.309,0.389,-0.805,0.144,0.779,0
35.04,-1.617,0.406,0.164,-0.303,0.787,0
56.18,0.256,-0.316,0.896,0.146,0.844,0
246.18,0.182,0.931,-0.192,0.472,0.806,0
8.96,1.594,0.641,-0.541,0.423,0.829,0
21.54,-0.953,0.452,-0.189,0.283,0.785,0
166.77,-0.424,-0.037,-0.86,-0.011,0.986,0
80.4,0.42,-1.603,-1.285,-1.167,0.71,0
94.58,-2.268,1.947,-1.989,0.03,0.752,0
122.86,0.64,-1.008,0.171,-2.181,0.971,0
8.24,1.173,0.001,-1.595,0.629,0.815,0
101.92,-0.21,-0.515,-0.77,-0.876,0.764,0
23.52,-0.356,-0.429,0.761,0.672,0.73,0
158.83,-1.534,-0.594,1.251,0.294,0.926,0
192.62,-0.262,-0.041,-0.404,0.856,0.807,0
8.39,0.735,-0.328,-0.071,-0.358,0.709,0
44.4,-0.536,-0.708,-0.172,1.018,0.779,0
80.65,-0.429,-0.638,-1.562,0.275,0.897,0
62.48,-0.334,-0.776,-0.873,-0.452,0.935,0
126.26,2.926,-1.207,0.086,-0.684,0.929,0
77.5,0.862,-1.208,0.685,-2.113,0.841,0
45.79,0.611,0.348,1.906,0.109,0.948,0
58.5,-0.374,0.389,0.449,-0.972,0.952,0
194.51,0.387,2.185,1.137,-0.839,0.854,0
84.71,0.424,-0.097,0.683,0.112,0.702,0
77.27,0.974,0.863,-0.149,-1.519,0.718,0
67.75,-0.474,-0.125,-1.06,-1.61,0.987,0
24.81,0.292,0.027,-0.011,0.511,0.902,0
14.95,1.337,-0.255,1.899,0.05,0.916,0
29.85,-0.113,1.053,0.413,-0.328,0.821,0
122.94,-2.166,0.881,0.35,1.284,0.813,0
14.87,-0.36,0.934,0.651,0.215,0.744,0
76.14,0.769,0.789,2.291,0.471,0.92,0
161.32,-0.697,1.249,-0.056,-0.193,0.737,0
16.01,-0.135,-0.066,-0.486,0.215,0.759,0
13.29,-0.097,-0.182,0.49,0.076,0.954,0
182.39,-0.554,-0.764,0.098,-0.747,0.772,0
28.71,0.255,1.194,0.348,0.887,0.974,0
33.08,1.653,0.829,0.937,-0.264,0.984,0
62.86,-0.606,-2.363,0.396,0.961,0.713,0
71.41,-0.331,-2.028,-0.333,-1.115,0.767,0
40.05,-1.281,-1.004,0.633,-0.51,0.897,0
27.9,0.129,-2.364,0.996,0.072,0.81,0
208.29,1.605,-0.382,-2.636,-0.889,0.886,0
251.09,-0.123,-0.986,0.018,-0.014,0.98,0
60.37,0.182,-0.252,-1.003,1.36,0.957,0
321.43,1.982,1.744,0.699,-1.675,0.827,0
35.58,-0.055,-0.096,0.194,-1.392,0.874,0
84.73,-1.311,-1.862,-0.09,1.262,0.986,0
54.23,-0.44,0.146,0.944,0.412,0.973,0
508.38,0.576,-1.663,2.138,-1.651,0.746,0
922.54,-3.66,5.766,-5.649,3.294,0.324,1
36.82,0.266,0.637,0.812,1.991,0.713,0
233.4,1.817,0.323,0.158,-0.532,0.922,0
133.13,-0.729,0.72,1.008,-1.122,0.798,0
296.92,-0.005,-0.953,-1.827,-0.755,0.887,0
16.94,0.37,0.313,-1.397,-1.12,0.85,0
8.98,-0.335,0.311,0.975,-0.999,0.861,0
14.79,-0.082,0.743,0.008,1.741,0.875,0
35.65,0.199,-1.403,-2.068,-1.125,0.895,0
104.69,-0.129,-0.362,-0.856,-0.187,0.768,0
9.51,-0.474,1.71,-1.237,0.392,0.927,0
270.14,1.757,0.775,-1.124,-1.542,0.913,0
228.37,1.232,0.548,-0.485,-0.553,0.854,0
21.51,-1.404,0.91,0.589,0.557,0.834,0
21.95,-0.389,0.103,0.529,-0.514,0.945,0
30.44,-1.129,-0.747,0.006,0.9,0.89,0
50.64,-1.351,1.55,1.2,-1.43,0.871,0
34.54,-0.377,-1.007,1.812,-1.194,0.965,0
8.13,-0.727,-0.608,-2.799,0.091,0.911,0
28.6,0.941,0.232,0.243,0.164,0.768,0
23.71,1.323,0.735,0.206,0.6,0.981,0
40.92,0.595,-2.074,0.906,0.834,0.917,0
40.97,-2.217,0.353,0.04,-0.309,0.736,0
12.09,0.019,0.583,-1.806,1.001,0.945,0
43.1,0.644,-0.431,-0.079,-0.021,0.813,0
95.34,-0.438,-1.582,0.124,-0.624,0.919,0
50.33,-0.823,-0.16,-0.459,-0.396,0.84,0
69.04,0.644,2.427,1.079,0.047,0.76,0
8.54,-1.173,1.305,0.937,-1.53,0.75,0
50.29,-2.86,-1.229,0.105,0.58,0.931,0
52.84,1.029,-0.125,-0.253,0.383,0.758,0
63.28,-0.295,0.666,1.315,0.96,0.926,0
75.54,0.424,-0.089,1.479,0.72,0.8,0
99.22,-0.86,-0.817,0.182,1.824,0.898,0
31.69,-1.203,2.118,-1.597,0.74,0.907,0
144.36,-0.877,-1.056,1.272,1.048,0.904,0
102.57,-1.536,-1.566,-0.671,-0.48,0.901,0
13.31,1.115,-0.294,-0.815,0.813,0.895,0
8.76,-0.332,0.34,-1.014,0.726,0.72,0
60.83,0.531,-0.765,-0.721,-1.201,0.865,0
200.94,-1.752,3.389,-5.758,1.363,0.267,1
44.6,-1.974,-1.144,0.283,0.09,0.848,0
373.34,-0.357,-1.138,-0.634,-0.289,0.825,0
40.08,-0.372,-0.689,-0.343,0.669,0.907,0
85.48,-1.508,-0.421,1.228,-1.746,0.802,0
25.56,2.044,-0.975,1.084,-0.028,0.859,0
60.71,0.195,0.376,0.535,0.457,0.858,0
73.72,-0.932,2.019,-0.7,0.322,0.979,0
122.89,-1.452,1.037,-0.307,-1.149,0.892,0
90.37,1.47,-1.523,1.574,-0.301,0.858,0
94.59,0.251,0.009,-0.014,-0.68,0.727,0
19.8,-1.068,-0.363,1.191,-1.397,0.855,0
148.7,0.781,0.833,0.928,0.022,0.963,0
68.08,-1.041,-1.194,-0.465,0.288,0.985,0
116.6,1.921,0.048,2.0,0.515,0.937,0
44.86,-0.243,0.251,-1.336,-1.509,0.934,0
95.0,1.946,-0.809,1.464,1.314,0.924,0
48.85,0.944,1.142,2.167,1.101,0.99,0
24.09,-2.137,0.323,-1.567,0.151,0.714,0
77.25,-1.028,-0.53,-0.337,-0.132,0.976,0
78.97,-0.313,1.28,-0.038,0.924,0.866,0
62.53,0.467,1.635,-0.694,-0.447,0.876,0
62.1,-0.213,-0.823,1.301,0.059,0.722,0
41.42,0.489,1.063,0.788,-0.479,0.843,0
63.64,-0.945,-0.372,-0.059,-0.271,0.973,0
179.31,2.801,0.491,-1.238,0.656,0.746,0
88.97,0.289,0.53,1.025,-1.776,0.79,0
605.93,0.648,1.41,1.888,-1.226,0.799,0
7.49,0.676,-0.165,-0.715,0.217,0.957,0
31.62,-0.81,-1.022,1.315,2.273,0.843,0
112.46,1.055,-0.686,0.508,-0.584,0.893,0
102.71,2.076,-0.229,1.579,0.506,0.722,0
220.5,0.075,0.337,1.698,-0.132,0.795,0
62.78,-0.147,0.264,-0.762,-1.008,0.828,0
37.06,1.421,-1.482,0.789,0.879,0.936,0
7.78,2.453,1.038,0.955,0.368,0.966,0
63.99,1.249,0.17,1.292,2.883,0.962,0
137.63,-0.092,0.134,1.223,0.087,0.732,0
139.56,0.489,-0.503,-1.226,0.448,0.837,0
102.36,-1.041,1.916,0.046,0.945,0.847,0
10.46,1.401,0.131,0.143,-1.489,0.77,0
126.2,1.12,0.202,0.291,0.773,0.91,0
72.73,1.56,-1.217,-0.171,0.837,0.791,0
46.8,-0.76,-0.115,-4.065,-1.114,0.871,0
43.31,0.931,0.279,0.1,0.545,0.712,0
300.92,-0.998,1.253,0.093,0.918,0.903,0
154.68,0.313,0.238,-0.063,0.483,0.976,0
114.21,0.206,-0.487,0.61,0.281,0.808,0
79.74,0.036,-0.725,-0.518,0.56,0.853,0
24.39,0.03,-1.05,0.158,-0.762,0.709,0
14.59,2.197,1.202,0.067,-0.432,0.943,0
113.91,0.255,-1.015,-0.21,0.078,0.948,0
206.22,0.29,0.313,0.731,1.342,0.897,0
144.56,-1.258,1.186,0.819,-0.256,0.705,0
107.0,0.03,0.066,-0.438,-1.748,0.791,0
31.58,-1.968,-1.113,1.141,0.486,0.786,0
25.44,1.229,1.204,0.07,1.175,0.88,0
13.14,-1.474,-0.364,0.028,-1.685,0.936,0
120.75,1.011,2.334,0.417,-0.064,0.862,0
29.9,0.559,-1.356,-0.24,0.011,0.941,0
108.51,-0.537,0.201,0.574,-0.182,0.95,0
33.58,-0.178,-1.197,1.373,-1.086,0.98,0
43.33,0.455,0.17,-2.942,-0.703,0.796,0
273.76,0.512,1.021,0.507,-0.729,0.911,0
52.05,-0.179,-0.095,0.51,1.237,0.791,0
20.21,-1.604,-0.296,0.568,-0.364,0.849,0
116.06,-0.102,-0.352,-1.36,-0.09,0.735,0
178.62,0.358,-0.118,0.231,-0.671,0.982,0
330.29,-1.245,-0.106,0.221,-0.169,0.964,0
84.58,0.773,0.857,1.005,0.497,0.899,0
69.9,0.784,-0.845,-1.863,-0.241,0.933,0
106.41,-1.25,0.729,1.135,0.609,0.803,0
266.98,-0.46,0.786,0.583,-0.327,0.98,0
11.21,2.542,-1.51,-0.232,-0.771,0.792,0
70.28,1.269,1.005,0.267,-0.31,0.897,0
191.91,0.952,-0.122,-0.181,1.078,0.811,0
234.52,0.368,0.185,0.467,1.269,0.734,0
34.29,0.274,-0.537,-0.911,0.994,0.786,0
58.79,0.847,-0.438,0.578,1.083,0.794,0
66.74,-1.964,-0.672,-0.057,1.2,0.941,0
14.45,0.291,2.617,-1.491,0.121,0.908,0
12.53,1.752,1.815,0.054,0.862,0.74,0
77.28,0.014,-0.505,-0.063,-0.852,0.971,0
113.13,0.704,0.31,1.635,2.192,0.978,0
122.04,-0.405,0.97,2.115,0.996,0.793,0
76.79,-0.558,-0.412,1.387,-0.731,0.966,0
57.02,-0.776,0.279,0.149,0.877,0.926,0
139.47,0.201,-1.676,0.14,0.055,0.787,0
173.0,0.042,0.073,-0.713,-1.153,0.71,0
156.35,0.383,1.008,-0.625,-0.218,0.918,0
115.21,0.231,0.414,0.532,0.711,0.883,0
52.33,0.274,0.73,-0.762,-0.186,0.784,0
71.7,-0.901,-0.725,-1.279,0.106,0.932,0
61.3,-1.121,0.235,-0.88,-1.717,0.934,0
129.98,0.552,-1.316,0.084,0.597,0.903,0
142.41,0.965,1.067,0.105,0.499,0.885,0
165.84,1.199,0.874,-0.632,-1.306,0.743,0
64.9,0.083,-0.007,1.301,0.505,0.797,0
156.39,1.53,0.894,0.427,-1.807,0.884,0
80.6,0.011,0.032,-0.517,-1.632,0.769,0
5.36,-0.562,1.659,1.079,-0.773,0.941,0
319.58,-0.578,2.135,-1.02,-0.715,0.762,0
49.73,-0.538,-0.522,-0.902,1.328,0.833,0
18.68,-0.877,-0.21,-0.923,0.076,0.929,0
76.07,-0.589,1.618,-0.807,-0.238,0.852,0
66.42,1.686,-0.224,0.515,0.683,0.742,0
87.71,0.235,-0.506,-0.968,-0.311,0.95,0
85.91,-0.254,-0.079,0.804,0.071,0.873,0
307.87,0.203,-1.079,0.122,1.428,0.726,0
79.32,1.477,0.721,0.768,0.741,0.892,0
25.66,1.385,-0.48,-1.929,0.366,0.765,0
64.91,0.605,0.53,-1.466,1.889,0.797,0
75.88,0.819,0.79,1.415,-0.624,0.812,0
199.63,-0.556,-0.865,-1.903,0.54,0.823,0
62.64,0.075,1.158,-1.307,-0.713,0.819,0
66.64,-0.534,0.347,-0.561,-1.298,0.805,0
47.26,-0.633,1.057,2.362,0.036,0.767,0
112.81,-2.092,1.852,-0.595,0.719,0.956,0
74.99,0.954,0.278,0.388,1.213,0.918,0
53.28,-0.708,0.077,0.629,-1.629,0.873,0
725.57,1.451,7.945,-4.813,6.4,0.293,1
198.85,-1.659,-1.424,0.004,-0.495,0.933,0
72.86,0.865,-0.696,0.925,-0.914,0.877,0
20.84,-0.815,-0.642,0.994,0.658,0.774,0
54.95,-0.735,1.942,0.967,1.424,0.733,0
134.1,0.905,1.282,-0.48,-0.713,0.814,0
32.91,0.669,-0.596,0.932,1.967,0.766,0
1175.89,-2.677,3.166,-5.577,3.035,0.18,1
5.61,-1.146,0.9,-0.497,1.111,0.839,0
291.64,0.81,-0.943,-0.78,0.714,0.845,0
41.64,0.591,1.311,1.515,-0.13,0.768,0
124.08,-0.443,1.368,-0.04,0.16,0.885,0
19.93,0.754,0.723,-1.211,1.0,0.842,0
14.95,-1.618,-0.179,-1.004,-0.449,0.767,0
11.77,0.06,0.827,0.793,-2.337,0.882,0
221.71,-0.56,-0.88,-0.062,0.231,0.707,0
18.58,0.378,-0.197,-2.524,-0.495,0.876,0
54.11,0.059,0.741,0.635,0.31,0.743,0
27.19,-2.021,0.142,0.3,-0.048,0.745,0
71.16,-0.294,-0.65,0.665,0.041,0.813,0
10.7,-1.04,-0.328,0.583,-1.332,0.72,0
58.12,-1.332,1.865,1.254,-0.598,0.794,0
59.77,-1.592,-1.128,-0.034,-0.115,0.958,0
104.66,0.278,-1.081,0.324,0.635,0.743,0
177.01,-0.427,-1.846,1.184,0.088,0.97,0
230.62,-2.773,2.07,-0.479,2.439,0.971,0
28.39,0.377,-0.203,0.184,-0.709,0.898,0
64.86,-0.899,0.533,-0.72,-0.168,0.858,0
99.17,0.746,0.071,2.695,-0.95,0.873,0
49.85,-0.382,0.41,1.716,0.424,0.962,0
188.04,2.231,0.136,-0.708,-2.353,0.963,0
231.9,0.301,-2.236,0.325,1.46,0.988,0
323.73,-2.127,5.405,-3.407,3.873,0.268,1
50.09,-0.239,-0.879,0.336,0.187,0.773,0
42.3,0.468,-0.85,0.114,0.373,0.879,0
73.53,0.237,-0.425,1.658,1.048,0.961,0
135.25,0.027,0.162,-0.102,-0.975,0.928,0
7.39,0.009,1.757,-0.816,-0.271,0.912,0
37.91,0.83,-1.278,-2.018,0.866,0.886,0
31.89,-0.638,0.695,0.444,-0.536,0.905,0
22.14,-0.693,1.109,-0.832,0.35,0.847,0
6.61,-0.701,-0.179,-2.562,-0.813,0.829,0
8.94,1.293,-0.698,1.414,-0.861,0.807,0
51.78,0.607,0.086,0.548,0.132,0.987,0
61.27,2.152,-0.474,2.054,0.852,0.953,0
121.59,-3.196,-0.262,-0.67,2.112,0.833,0
6.4,-0.046,-1.307,-0.56,0.817,0.852,0
40.96,-0.901,1.3,0.395,-1.52,0.942,0
23.18,-0.304,0.145,-0.019,0.867,0.83,0
312.99,0.018,-1.083,1.467,2.962,0.865,0
6.61,1.015,1.009,0.178,-0.976,0.865,0
102.51,0.221,-0.723,0.058,-1.814,0.924,0
108.95,0.23,-0.96,0.452,0.787,0.924,0
33.15,0.525,-0.274,-0.558,-0.179,0.874,0
110.0,-2.662,6.303,-4.443,4.448,0.095,1
45.78,-0.43,1.428,0.634,0.407,0.856,0
34.0,-1.33,-1.258,-1.146,-0.773,0.877,0
201.06,-0.943,-0.581,0.498,0.698,0.97,0
20.38,0.134,-1.147,-0.413,2.381,0.874,0
21.91,2.121,-0.273,1.834,-0.688,0.831,0
39.5,-0.758,-1.67,-0.417,0.991,0.713,0
372.68,-0.594,-0.376,1.371,-0.748,0.785,0
77.67,-0.966,-0.213,1.209,-0.913,0.877,0
15.84,0.433,-1.036,-0.522,1.087,0.873,0
20.9,-0.518,1.403,0.58,0.881,0.94,0
33.59,0.798,0.519,-0.283,0.163,0.865,0
52.64,-0.604,-0.335,-1.318,0.673,0.781,0
199.24,-2.335,-0.712,0.46,0.251,0.707,0
55.54,-1.579,0.964,-1.44,-0.204,0.905,0
33.45,0.582,-0.357,0.691,-1.492,0.736,0
59.22,1.025,0.374,0.65,-0.553,0.768,0
101.0,-0.974,-0.175,-0.935,0.71,0.751,0
42.71,-1.21,0.697,-2.544,-1.011,0.768,0
9.69,1.403,-0.344,0.716,0.427,0.703,0
293.47,-0.191,-1.659,-1.326,-1.343,0.944,0
121.63,-0.879,-0.079,0.008,0.078,0.903,0
